HC16,HC13,HC06,HC03,RRMS18,RRMS16,SPMS10,SPMS03
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,8,4,1,2,3,3,5
17,15,19,9,12,8,5,8
0,0,0,0,0,0,0,0
120,370,43,243,494,112,368,167
1,1,2,2,0,4,3,0
6835,6877,6747,5585,6339,7475,8122,8180
1543,1678,1459,1941,1725,1525,1124,1296
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
22,5,5,15,11,12,7,9
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
31,41,30,38,28,13,18,20
0,0,0,0,0,0,0,0
7,6,9,9,2,2,6,15
1,0,0,1,0,0,0,0
0,0,5,2,3,1,0,2
1,0,0,0,0,0,0,0
2,0,2,0,0,0,1,0
464,561,648,1088,773,591,386,443
1,2,0,1,4,4,1,1
18,19,65,50,56,38,9,20
5,8,7,18,13,18,18,31
8,9,13,14,10,13,2,5
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,3,2,4,2,0,1,3
0,0,0,0,0,0,0,0
1,2,0,0,2,0,1,0
0,0,0,0,0,0,0,0
286,212,173,228,330,556,290,357
0,0,0,0,0,0,0,0
2249,2303,2392,2955,2116,2265,1649,1696
5,2,1,6,2,1,3,2
161,207,257,249,260,217,143,183
21,54,24,22,51,49,12,18
277,321,298,322,337,259,181,289
0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0
374,693,1014,984,974,669,329,631
3,9,19,15,20,8,8,7
545,550,466,743,431,531,423,374
6,18,13,7,11,16,23,10
125,143,159,155,175,149,143,111
49,51,58,69,63,54,27,66
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,2,1,0,1,0,0
0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0
0,4,3,4,1,1,3,0
0,0,0,0,0,0,0,0
261,280,285,279,314,299,323,298
17,23,24,21,18,18,15,20
3,2,4,3,1,3,2,1
1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0
147,159,176,213,198,184,73,159
0,0,0,0,0,0,0,0
687,708,791,1082,913,817,532,570
12,17,26,29,14,17,16,15
5,20,18,6,3,24,13,7
0,0,0,0,0,0,0,0
1,1,1,6,2,2,1,3
54,37,50,45,45,30,42,34
3,8,6,5,8,3,3,8
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0,3,1,0,1,2,2,1
78,54,69,72,68,71,48,80
37,44,68,80,81,75,17,40
175,461,53,146,268,92,308,130
0,0,0,1,0,0,0,0
1,0,1,2,0,0,0,0
0,0,0,0,0,0,0,0
7,12,5,8,8,3,4,2
0,0,0,0,0,0,0,0
0,0,2,1,1,4,1,2
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,3,0,2,3,2,0,1
0,2,3,1,1,4,0,0
0,2,0,1,2,0,1,1
0,0,0,0,0,0,0,0
2,6,0,12,2,2,4,1
0,0,0,0,0,0,0,0
16,30,19,14,17,27,9,16
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0
68,83,67,66,62,53,15,46
0,0,0,1,0,0,0,0
0,0,1,1,0,0,1,0
75,75,80,112,104,84,44,81
0,1,0,3,0,0,0,0
117,78,53,61,59,49,45,46
2,5,6,0,1,4,4,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0
0,0,0,68,0,0,71,60
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
709,828,739,787,714,840,765,811
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
11,14,22,46,28,27,24,20
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0
0,0,1,8,0,0,0,2
0,0,0,0,0,3,0,1
2,3,2,6,6,6,1,1
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
71,79,82,85,75,77,65,68
1106,1083,1043,1465,1258,995,700,826
0,0,0,0,0,0,0,0
231,269,224,250,299,230,254,293
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
73,92,71,76,97,74,71,81
986,953,1233,1062,1217,1136,978,904
1108,1609,1338,1792,1424,1489,1391,1075
56,80,50,92,66,32,28,47
704,857,606,1059,889,868,1060,694
0,0,0,0,0,0,0,0
1595,1790,1543,2069,1991,1657,1383,1278
4,8,4,6,5,3,3,9
642,611,533,629,710,645,400,670
0,0,0,0,0,0,0,0
14,27,28,19,29,19,20,16
28,50,33,42,50,31,29,18
2,7,0,2,2,0,0,2
11860,16876,13225,9700,13449,13938,17690,15275
60,38,26,53,14,35,32,33
6,20,19,19,10,2,8,16
0,3,1,0,0,0,0,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,1,1,1,1,2,1,1
21,28,15,18,16,21,21,21
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,2
0,2,3,3,6,1,3,3
19,7,20,21,42,17,10,10
0,1,3,0,1,1,0,0
0,0,0,0,0,0,0,0
2,1,0,3,0,0,0,2
0,0,2,3,1,0,0,1
0,0,0,0,0,0,0,0
344,400,422,611,448,365,262,270
1,2,6,1,3,2,0,1
27,31,15,27,26,8,21,17
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
410,468,431,600,528,299,225,340
0,1,1,1,1,1,0,1
3254,2947,2668,2672,2963,3221,3063,2620
272,389,458,560,458,422,278,364
2,0,0,1,0,0,0,0
10,6,3,8,10,17,20,7
0,1,0,0,1,0,0,0
4439,3762,4217,4363,3361,3756,4194,3897
0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,4,1,0,0,0,0
406,458,332,558,484,452,361,405
0,0,0,0,0,0,0,0
91,123,131,153,142,107,87,104
574,665,638,925,743,559,393,522
258,229,284,294,284,215,119,250
245,217,224,298,245,239,196,143
4,5,9,9,10,5,8,15
0,0,0,0,0,0,0,0
10,38,31,62,30,17,10,21
77,48,73,62,68,87,55,66
232,285,245,354,281,277,315,225
1409,1781,2471,3127,2478,1428,1126,1221
0,0,0,0,0,0,0,0
85,108,95,143,73,71,77,70
0,0,0,0,0,0,0,0
68,100,60,43,70,53,113,89
0,0,0,0,0,0,0,0
6,16,4,21,18,28,19,14
107,98,54,64,53,48,33,52
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
9,13,11,10,15,18,7,10
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
375,406,527,807,544,311,282,400
151,156,165,150,192,161,88,117
1327,1533,1532,1892,1871,1451,1224,1373
210,238,226,265,284,186,164,166
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10,6,10,4,6,7,15,17
0,0,0,0,0,0,0,0
0,0,1,2,1,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
156,140,191,265,205,157,96,144
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
357,376,239,283,187,315,221,251
0,0,0,0,0,0,0,0
2,1,1,0,2,2,1,1
0,0,0,0,0,0,0,0
2,3,1,1,0,5,2,0
0,0,0,0,0,0,0,0
4,5,5,7,5,6,5,5
0,1,0,0,0,0,0,0
16,3,11,7,2,15,4,25
56,99,40,67,3,34,7,2
1941,1615,1023,1109,1445,1683,1532,2202
634,594,357,502,366,924,1268,858
84,194,37,126,281,180,89,115
0,1,0,3,0,0,0,0
2695,2763,2224,2707,2634,2761,2282,2537
0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0
1267,1343,1336,1892,1513,1234,1092,1308
488,633,605,738,622,484,509,555
0,0,0,0,0,0,0,0
