,logFC,logCPM,LR,PValue,DE,FDR
9255,1.08139810859817,-0.401903192472729,5.08380516996037,0.0241503120866069,0,1
14444,-1.40418422005286,-1.11814423732988,5.07887366702636,0.0242190983296669,0,1
19561,-1.77692679122642,-1.45206061035557,5.06853341770834,0.0243639883713662,0,1
21144,1.1408731436553,-0.685678311683329,5.06489084421238,0.0244152429661984,0,1
15158,4.51303137463827,-2.37977555744136,5.01219003993721,0.0251694469390155,0,1
19441,3.20967180816861,-2.02636798398784,4.96303938717939,0.0258946552326754,0,1
15838,4.50547177259834,-2.39508279902902,4.92144012797873,0.0265253975774232,0,1
16402,-3.18639836651394,-2.02284415190703,4.91513953858399,0.0266223126648934,0,1
8595,-4.62388060905062,-2.24110040223629,4.89293972407395,0.0269667317171717,0,1
14064,-4.6356807790344,-2.42729128212932,4.88885943657992,0.0270305376736008,0,1
21624,1.3586071105957,-1.05627814757797,4.83665644839139,0.027860863594007,0,1
5154,-1.66238969946255,-1.37061308340783,4.79020034977073,0.0286220971612781,0,1
19842,1.9025506317678,-1.56857321887714,4.78290497103439,0.0287435926513687,0,1
1014,2.32170057063678,-1.74327530156022,4.77274815272468,0.0289136366961813,0,1
2967,-4.58914978247415,-2.43737811960888,4.75735845846829,0.0291732874934553,0,1
12920,-3.10164601238842,-2.012760092363,4.74603374183938,0.0293659052341532,0,1
16736,0.870095820343989,0.236707242750127,4.72657536564355,0.0296999649059672,0,1
2026,-2.34487257179106,-1.75698516626754,4.70010031186381,0.0301608570113348,0,1
5709,-1.02281781276719,-0.453387038310627,4.67709923728011,0.0305673226586477,0,1
19853,-4.58046749121024,-2.44682255342584,4.6734463456744,0.030632398663108,0,1
4288,1.85986715712298,-1.52258152912388,4.66559597375258,0.030772741717652,0,1
5624,-2.77727304969792,-1.92647726683805,4.65300160281714,0.0309992966456756,0,1
11864,-4.51747340575483,-2.43976381684134,4.63344609749145,0.0313545259339167,0,1
18809,0.885742609249344,0.0603727069954735,4.59478669808105,0.0320693330954059,0,1
8004,-4.50788840255476,-2.44386929913244,4.59265372985121,0.0321092630250217,0,1
13642,-0.789223019057157,0.749857662541963,4.59243300440462,0.0321133980459907,0,1
9625,-4.53741833841053,-2.45357655307863,4.57380628215522,0.0324643572208601,0,1
19857,-3.06413794948625,-2.03132984039487,4.54553267080125,0.0330047515047268,0,1
14717,4.5302632125458,-2.47466315661072,4.52956721278183,0.0333140416751031,0,1
6148,4.42226941483841,-2.44059579437676,4.5265061383408,0.0333736872714856,0,1
5558,1.32832679963187,-1.12929101954219,4.4883068023739,0.034127462990328,0,1
15014,4.51075003929807,-2.47794958577494,4.4788279617014,0.0343172470797629,0,1
8391,-2.44379544476612,-1.82639905672273,4.46648266008197,0.0345660786020469,0,1
357,-0.962369112752899,-0.350310460075929,4.4184890433124,0.0355515038113037,0,1
12306,-1.17673135048254,-0.85861424618239,4.40493942070111,0.035834997464323,0,1
18950,-1.36782490278162,-1.19765650575065,4.39892802137359,0.0359615283055247,0,1
18789,4.47121632547906,-2.47952464009693,4.39340287276045,0.0360782366854098,0,1
8647,1.21285174465734,-0.946616288752459,4.36984982866973,0.0365802155308736,0,1
2626,4.50490397213022,-2.49994521153436,4.3533472909208,0.0369362818156632,0,1
