id,RRMS01,RRMS02,RRMS03,RRMS04,RRMS05,RRMS06,RRMS07,RRMS08,RRMS09,RRMS10,RRMS11,RRMS12,RRMS13,RRMS14,RRMS15,RRMS16,RRMS17,RRMS18,RRMS19,RRMS20,SPMS01,SPMS02,SPMS03,SPMS04,SPMS05,SPMS06,SPMS07,SPMS08,SPMS09,SPMS10,HC01,HC02,HC03,HC04,HC05,HC06,HC07,HC08,HC09,HC10,HC11,HC12,HC13,HC14,HC15,HC16,HC17,HC18,HC19,HC20
circ_8233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
circ_8234,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
circ_8235,2,0,0,0,5,0,5,2,5,2,4,0,0,0,0,0,2,2,5,3,0,0,0,5,7,3,4,0,5,0,3,0,0,4,2,0,0,3,0,0,2,2,4,3,4,5,4,0,0,0
circ_8236,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
circ_8237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
circ_8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8239,3,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
circ_824,0,4,0,0,5,3,0,0,2,0,0,2,0,0,2,0,0,0,4,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,2,0
circ_8240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
circ_8241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
circ_8242,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
circ_8243,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
circ_8244,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8245,2,7,12,4,5,5,9,0,0,5,4,9,9,4,4,11,9,8,7,3,5,11,7,5,4,11,9,8,10,10,4,8,3,3,4,8,6,5,0,12,4,3,2,4,6,8,5,6,4,8
circ_8246,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,4,0,2,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0
circ_8247,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
circ_8248,3,2,4,0,0,2,5,0,2,3,2,0,11,0,0,0,3,9,2,0,0,0,0,0,0,0,3,0,4,0,2,0,0,7,0,0,4,0,0,0,2,2,0,2,2,2,0,0,4,0
circ_8249,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
circ_825,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8250,3,0,0,3,0,0,2,0,2,2,0,0,0,0,0,3,2,0,0,0,3,2,0,2,0,4,7,0,3,4,3,3,6,0,0,2,2,6,3,5,0,2,3,5,0,0,0,0,7,0
circ_8251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8252,3,12,5,5,12,5,8,11,3,7,7,7,4,8,3,8,4,8,6,0,9,13,3,6,6,5,11,17,6,5,4,11,4,13,7,6,4,2,9,6,5,6,10,9,13,6,6,3,7,6
circ_8253,3,0,0,0,3,0,4,7,4,0,0,0,0,3,6,0,0,4,6,0,3,0,2,6,3,0,0,0,3,0,0,0,0,3,4,3,0,0,0,0,7,7,0,3,0,5,0,0,2,0
circ_8254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0
circ_8255,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,2,2,0,0,0
circ_8256,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
circ_8257,22,17,6,10,18,23,24,13,7,17,12,27,17,5,12,13,14,12,18,7,7,22,6,34,20,20,13,18,20,6,8,22,19,13,6,27,15,5,13,6,27,10,30,25,16,8,14,8,25,15
circ_8258,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8259,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,2,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
circ_826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
circ_8260,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8261,14,15,18,14,13,26,9,11,13,19,16,13,19,11,11,11,20,22,10,12,13,10,13,18,24,8,17,11,12,10,13,12,11,16,3,10,20,6,11,17,9,12,17,11,12,11,13,20,15,6
circ_8262,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
circ_8264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
circ_8265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8266,0,0,0,3,2,5,0,0,2,2,0,0,0,0,5,0,0,0,0,4,3,2,0,3,5,4,2,3,3,0,0,3,6,0,6,0,2,6,0,0,3,0,3,0,4,0,2,0,0,6
circ_8267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8268,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
circ_827,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8270,0,0,2,3,4,2,0,0,2,2,9,9,3,4,3,0,0,2,4,0,0,2,0,3,0,0,8,0,2,0,0,11,3,4,0,5,5,0,3,0,5,0,0,5,3,0,0,3,2,2
circ_8271,7,10,10,8,11,9,11,3,12,6,13,8,9,7,11,5,10,13,8,10,3,10,5,29,20,9,12,12,14,9,7,17,12,15,7,5,6,9,12,18,13,10,5,14,5,5,3,9,9,8
circ_8272,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
circ_8274,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
circ_8277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
circ_8279,6,3,6,4,4,3,4,0,0,2,7,5,0,5,2,4,8,4,6,3,4,0,0,4,3,4,5,2,2,7,5,5,7,5,3,6,0,0,0,2,10,0,3,7,3,0,0,0,7,0
circ_828,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8280,6,3,6,3,2,6,5,0,3,5,7,3,7,10,2,3,3,8,7,3,4,0,3,5,3,6,2,6,4,2,4,8,6,0,7,4,4,2,3,9,2,5,2,11,3,0,0,2,3,2
circ_8281,2,0,2,0,5,0,2,3,4,8,4,2,4,3,4,4,0,0,4,9,0,0,2,5,4,0,7,2,9,3,0,0,7,0,0,3,4,2,5,7,3,9,6,6,4,2,0,0,0,0
circ_8282,0,3,0,0,3,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,3,0,3,4,3,0,2,0,2,3,0,0,3,3,0,0,7,0,2,0,3,0,0,0,2,0,5,2,5,0
circ_8283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
circ_8284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circ_8286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
