,HC16,HC13,HC06,HC03,RRMS18,RRMS16,SPMS10,SPMS03
21325,0,0,0,0,0,0,0,0
21326,0,0,0,0,0,0,0,0
21327,3,0,5,1,1,3,3,1
21328,61,58,40,59,58,34,30,19
21329,31,60,23,55,68,76,81,61
21330,0,0,0,0,0,0,0,0
21331,0,0,0,0,0,0,0,0
21332,156,187,117,186,218,244,212,190
21333,225,254,173,281,254,338,275,282
21334,29,29,24,47,44,35,24,25
21335,6,9,15,9,9,11,1,7
21336,1,4,2,1,17,4,0,1
21337,3,0,4,2,6,4,0,0
21338,47,48,40,46,42,52,25,20
21339,0,0,0,0,0,0,0,0
21340,0,1,0,2,0,0,0,0
21341,13,11,3,11,16,27,6,15
21342,7,8,2,1,6,5,5,3
21343,4,8,15,5,7,10,2,12
21344,153,170,184,194,209,171,86,149
21345,0,0,0,0,0,0,0,0
21346,0,0,0,0,0,0,0,0
21347,7,12,20,7,11,15,1,8
21348,21,48,24,33,13,19,45,35
21349,0,0,0,0,0,0,0,0
21350,0,0,0,0,0,0,0,0
21351,3,0,0,0,1,0,0,4
21352,3,12,11,12,15,6,8,5
21353,0,2,1,0,0,0,0,0
21354,0,0,0,2,0,0,0,0
21355,0,0,0,0,0,0,0,0
21356,1,0,0,0,0,1,0,0
21357,0,0,0,0,0,0,0,0
21358,0,0,0,0,0,0,0,0
21359,0,0,0,0,0,0,0,0
21360,266,287,277,292,256,281,256,257
21361,11,3,11,7,6,4,9,7
21362,0,0,0,0,0,0,0,0
21363,0,0,0,0,0,0,0,0
21364,0,0,0,0,0,0,0,0
21365,0,0,0,0,1,0,0,1
21366,0,0,0,0,0,0,0,0
21367,0,0,0,0,0,0,0,0
21368,0,0,0,0,0,0,0,0
21369,0,0,0,0,0,0,0,0
21370,0,0,0,0,0,0,0,0
21371,0,0,0,3,3,0,0,0
21372,0,0,0,0,0,0,0,0
21373,30,39,44,68,33,37,16,35
21374,0,0,0,0,0,0,0,0
21375,0,0,0,1,0,0,0,0
21376,435,525,420,374,466,491,381,398
21377,0,0,0,0,0,0,0,0
21378,449,482,471,649,471,389,316,384
21379,0,0,0,0,0,0,0,0
21380,1,2,2,5,0,1,1,2
21381,250,320,223,376,279,221,197,184
21382,14,19,21,17,17,19,9,4
21383,1,1,1,5,3,3,4,1
21384,308,358,402,551,427,305,252,248
21385,0,0,0,0,0,0,0,0
21386,0,0,0,0,0,0,0,0
21387,0,0,0,0,0,0,0,0
21388,572,462,488,584,483,497,441,544
21389,18,26,15,19,12,9,11,14
21390,857,915,810,1018,801,739,761,687
21391,0,0,0,0,0,0,0,2
21392,0,0,0,0,0,0,0,0
21393,0,0,0,0,0,0,0,0
21394,0,0,0,0,0,0,0,0
21395,0,0,0,0,0,0,0,0
21396,0,0,0,0,0,0,0,0
21397,0,0,0,0,0,0,0,0
21398,0,0,0,0,0,0,0,0
21399,68,51,79,45,45,33,23,35
21400,0,0,0,0,0,0,0,0
21401,0,0,0,1,2,0,1,2
21402,1,1,3,3,2,3,0,0
21403,1,0,0,0,3,0,0,0
21404,0,0,0,2,0,0,2,0
21405,0,0,0,0,0,0,0,0
21406,580,535,566,630,382,395,383,332
21407,0,0,0,0,0,0,0,0
21408,106,149,93,136,121,127,84,94
21409,0,0,0,0,0,0,0,0
21410,0,0,0,1,0,0,0,0
21411,0,0,0,0,0,0,0,0
21412,0,0,0,0,0,0,0,0
21413,176,208,142,250,229,273,172,111
21414,13,9,18,18,22,2,17,24
21415,0,7,5,2,2,1,0,0
21416,166,128,187,154,184,129,81,91
21417,0,2,3,1,3,4,0,1
21418,0,0,2,1,0,0,0,0
21419,0,1,0,0,0,1,0,0
21420,117,80,175,180,184,95,53,95
21421,0,0,0,0,0,0,0,0
21422,0,0,0,0,0,0,0,0
21423,0,0,0,0,0,0,0,0
21424,1,0,0,0,0,0,0,0
21425,0,0,0,0,0,0,0,0
21426,10,6,4,6,2,7,2,1
21427,0,0,0,0,1,0,1,0
21428,675,832,873,897,877,729,634,775
21429,66,114,84,49,56,90,90,135
21430,661,722,750,832,850,598,510,511
21431,0,0,0,0,0,0,0,0
21432,280,307,302,269,200,316,319,225
21433,747,862,621,694,780,770,796,635
21434,126,143,178,203,240,121,116,150
21435,0,0,0,0,0,0,0,0
21436,2,3,0,1,1,0,3,0
21437,0,0,0,0,0,0,0,0
21438,0,1,0,0,1,1,0,0
21439,1,0,1,2,1,0,0,3
21440,0,0,0,0,0,0,0,0
21441,0,0,0,0,0,0,0,0
21442,0,0,0,0,0,1,0,0
21443,32,72,29,33,20,31,35,44
21444,47,37,53,22,6,42,20,58
21445,66,87,87,113,190,97,54,105
21446,28,41,23,34,34,25,37,21
21447,177,127,257,153,191,143,97,122
21448,0,0,0,0,0,0,1,0
21449,7,11,5,7,19,12,3,15
21450,0,0,0,2,0,0,0,0
21451,0,0,0,0,1,2,0,0
21452,0,0,0,0,0,0,0,0
21453,34,45,34,37,29,22,23,27
21454,2301,2423,3427,3284,2888,1761,1500,1759
21455,26,24,28,30,40,21,19,30
21456,11,12,9,9,28,8,5,6
21457,1,0,0,3,2,0,0,1
21458,0,0,0,0,1,0,0,0
21459,147,184,131,164,203,146,97,154
21460,0,0,0,0,0,0,0,0
21461,23,32,30,24,36,24,13,20
21462,0,0,0,0,0,0,0,0
21463,0,0,0,0,0,0,0,0
21464,0,0,0,0,0,0,0,0
21465,0,0,0,0,0,0,0,0
21466,0,0,0,0,0,0,0,0
21467,241,188,191,235,218,184,180,197
21468,6044,5550,5333,5875,6527,6537,5606,5998
21469,1,0,1,4,0,4,1,0
21470,1259,1321,1258,1705,1290,1037,789,696
21471,0,0,0,0,0,0,0,0
21472,0,0,0,0,2,1,0,2
21473,0,0,0,1,1,1,1,0
21474,1,0,2,4,0,7,0,0
21475,272,329,209,251,345,286,231,272
21476,30,33,48,38,47,30,57,68
21477,0,0,0,0,0,0,0,0
21478,0,0,0,0,0,0,0,0
21479,0,0,0,0,0,0,0,0
21480,265,320,322,310,364,317,271,282
21481,0,0,0,0,0,0,0,0
21482,3,2,3,3,8,4,0,0
21483,15,15,20,8,11,8,6,10
21484,0,0,0,0,1,0,0,0
21485,206,312,249,346,361,261,228,276
21486,35,40,29,44,33,38,20,18
21487,0,0,0,0,0,0,0,0
21488,1,2,6,1,0,1,3,1
21489,12,27,22,38,54,14,14,18
21490,1,1,0,0,0,0,0,0
21491,246,252,244,271,332,229,271,302
21492,0,0,0,0,0,0,0,0
21493,0,0,0,0,0,0,0,0
21494,0,0,0,0,0,0,0,0
21495,0,0,0,0,0,0,0,0
21496,0,0,0,0,0,0,0,0
21497,0,0,0,0,0,0,0,0
21498,11,5,2,0,3,3,2,4
21499,0,0,1,0,0,0,0,0
21500,0,0,1,1,0,0,2,0
21501,0,0,0,0,0,0,0,0
21502,0,0,0,0,0,1,0,0
21503,1321,1390,1308,1411,1493,1230,1244,1400
21504,0,0,0,0,0,0,0,0
21505,0,0,0,0,0,0,0,0
21506,254,396,330,506,548,365,224,371
21507,877,1228,947,926,1011,855,805,885
21508,0,0,0,0,0,0,0,0
21509,10,11,7,23,34,21,15,6
21510,1990,2014,1694,2259,1536,1646,1527,1605
21511,1,0,0,0,1,0,0,0
21512,0,0,0,0,0,0,0,0
21513,0,1,0,0,0,0,0,0
21514,0,0,0,0,0,0,0,0
21515,0,3,0,0,0,0,0,0
21516,0,0,0,0,0,0,0,0
21517,0,2,0,0,0,0,0,0
21518,0,0,0,0,0,0,0,0
21519,11,1,1,1,5,3,19,3
21520,0,0,0,0,0,0,0,0
21521,0,0,0,0,0,0,0,0
21522,0,0,0,0,0,0,0,0
21523,0,0,0,0,0,1,0,0
21524,0,0,0,0,0,0,0,0
21525,191,227,187,253,250,221,226,178
21526,199,179,225,273,261,199,169,205
21527,235,254,316,360,258,223,177,210
21528,576,583,581,841,561,548,460,457
21529,0,0,0,0,0,0,0,0
21530,339,268,459,513,324,272,197,152
21531,102,114,117,122,104,104,115,124
21532,29,18,23,8,15,45,20,20
21533,0,0,0,0,0,0,0,0
21534,24,20,32,32,10,12,14,18
21535,0,0,0,0,0,0,0,0
21536,16,15,6,14,26,24,25,16
21537,0,0,0,0,0,0,0,0
21538,0,0,0,0,0,0,0,0
21539,0,1,1,1,0,0,0,0
21540,0,0,0,0,0,0,0,0
21541,0,0,0,0,0,0,0,0
21542,150,176,145,155,143,115,172,154
21543,0,0,0,0,0,1,0,0
21544,0,0,0,0,0,0,0,0
21545,4090,3922,3210,3310,3058,3806,4817,4819
21546,2640,3055,2862,3471,2795,2532,2155,2439
21547,0,0,0,0,0,0,0,0
21548,0,0,0,0,0,0,0,0
21549,1,0,0,1,1,0,1,1
21550,0,0,0,0,0,0,0,0
21551,0,0,0,0,0,0,0,0
21552,0,0,0,0,0,0,0,0
21553,0,0,0,0,0,1,0,0
21554,1424,1687,1746,1984,1880,1478,1218,1271
21555,188,333,273,421,481,396,153,189
21556,2015,1853,1948,2282,2275,2371,2148,1896
21557,0,0,0,0,0,0,0,0
21558,46,57,28,24,26,20,12,39
21559,2,2,3,0,4,1,0,1
21560,2222,2175,2031,2274,2403,2425,2280,2066
